Artificer,Barbarian,Bard,Cleric,Druid,Fighter,Monk,Paladin,Ranger,Rogue,Sorcerer,Warlock,Wizard
Alchemist,Ancestral Guardian,Eloquence,Ambition,Dreams,Arcane Archer,Astral Self,Ancients,Beast Master,Arcane Trickster,Aberrant Mind,Archfey,Abjuration
Artillerist,Battlerager,Glamour,Arcana,Land,Battle Master,Drunken Master,Conquest,Gloom Stalker,Assassin,Divine Soul,Celestial,Bladesinger
Battle Smith,Berserker,Lore,Death,Moon,Brute,Four Elements,Crown,Horizon Walker,Inquisitive,Draconic,Fiend,Conjuration
,Storm Herald,Satire,Forge,Sheperd,Cavalier,Kensei,Devotion,Hunter,Mastermind,Giant Soul,Great Old One,Diviniation
,Totem Warrior,Swords,Grave,Spores,Champion,Long Death,Heroism,Monster Slayer,Revived,Phoenix,Hexblade,Enchantment
,Zealot,Valor,Knowledge,Twilight,Eldritch Knight,Open Hand,Oathbreaker,Primeval Guardian,Scout,Pyromancer,Lurker in the Deep,Evocation
,Wild Soul,Whispers,Life,Wildfire,Banneret,Shadow,Redemption,Swarmkeeper,Soulknife,Sea,Undying,Illusion
,,,Light,,Rune Knight,,Treachery,,Swashbuckler,Shadow,,Necromancy
,,,Nature,,Samurai,,Vengeance,,Thief,Stone,,Onomancy
,,,Order,,,,,,,Storm,,Psionics
,,,Protection,,,,,,,Wild,,Theurgy
,,,Solidarity,,,,,,,,,Transmutation
,,,Strength,,,,,,,,,
,,,Tempest,,,,,,,,,
,,,Trickery,,,,,,,,,
,,,Twilight,,,,,,,,,
,,,War,,,,,,,,,
,,,Zeal,,,,,,,,,